Sample	ASV	Relative_abundance	Prevalence_Compartment	Species	Phylum	Soil_div	Compartment
P14M26ATU-F02	ASV18	3.548989642	Root & Stem	Clonostachys rosea	Ascomycota	Low	Stem
P14M26BTD-C10	ASV18	0	Root & Stem	Clonostachys rosea	Ascomycota	Low	Root
P14M26BTU-F04	ASV18	0	Root & Stem	Clonostachys rosea	Ascomycota	Low	Stem
P14M26CTD-D12	ASV18	0	Root & Stem	Clonostachys rosea	Ascomycota	Low	Root
P14M26CTU-F06	ASV18	0	Root & Stem	Clonostachys rosea	Ascomycota	Low	Stem
P14M30ATD-B08	ASV18	7.632508834	Root & Stem	Clonostachys rosea	Ascomycota	High	Root
P14M30ATU-E02	ASV18	16.03206413	Root & Stem	Clonostachys rosea	Ascomycota	High	Stem
P14M30BTD-B10	ASV18	8.227571116	Root & Stem	Clonostachys rosea	Ascomycota	High	Root
P14M30BTU-E04	ASV18	7.593984962	Root & Stem	Clonostachys rosea	Ascomycota	High	Stem
P14M30CTD-C12	ASV18	7.412882788	Root & Stem	Clonostachys rosea	Ascomycota	High	Root
P14M30CTU-E06	ASV18	7.829880044	Root & Stem	Clonostachys rosea	Ascomycota	High	Stem
P14M36ATD-D08	ASV18	1.063829787	Root & Stem	Clonostachys rosea	Ascomycota	Low	Root
P14M36ATU-G02	ASV18	9.17888563	Root & Stem	Clonostachys rosea	Ascomycota	Low	Stem
P14M36BTD-D10	ASV18	0	Root & Stem	Clonostachys rosea	Ascomycota	Low	Root
P14M36BTU-G04	ASV18	0	Root & Stem	Clonostachys rosea	Ascomycota	Low	Stem
P14M36CTD-E12	ASV18	0	Root & Stem	Clonostachys rosea	Ascomycota	Low	Root
P14M36CTU-G06	ASV18	0	Root & Stem	Clonostachys rosea	Ascomycota	Low	Stem
ITS1-D0A	ASV18	1.568149662	Root & Stem	Clonostachys rosea	Ascomycota	High	Soil
ITS1-D0B	ASV18	0.088109813	Root & Stem	Clonostachys rosea	Ascomycota	High	Soil
ITS1-D0C	ASV18	0.130390689	Root & Stem	Clonostachys rosea	Ascomycota	High	Soil
ITS1-D6A	ASV18	0.158985671	Root & Stem	Clonostachys rosea	Ascomycota	Low	Soil
ITS1-D6B	ASV18	0	Root & Stem	Clonostachys rosea	Ascomycota	Low	Soil
ITS1-D6C	ASV18	0	Root & Stem	Clonostachys rosea	Ascomycota	Low	Soil
ITS-Boston-AF-1	ASV2	0	Root & Stem	Unclassified Nectriaceae	Ascomycota	ns	Seed
ITS-Boston-AF-2	ASV2	0	Root & Stem	Unclassified Nectriaceae	Ascomycota	ns	Seed
ITS-Boston-AF-3	ASV2	0	Root & Stem	Unclassified Nectriaceae	Ascomycota	ns	Seed
ITS-Boston-AF-4	ASV2	0	Root & Stem	Unclassified Nectriaceae	Ascomycota	ns	Seed
ITS-Boston-AF-5	ASV2	0	Root & Stem	Unclassified Nectriaceae	Ascomycota	ns	Seed
ITS-Major-AF-1	ASV2	0	Root & Stem	Unclassified Nectriaceae	Ascomycota	ns	Seed
ITS-Major-AF-2	ASV2	0	Root & Stem	Unclassified Nectriaceae	Ascomycota	ns	Seed
ITS-Major-AF-3	ASV2	0	Root & Stem	Unclassified Nectriaceae	Ascomycota	ns	Seed
ITS-Major-AF-4	ASV2	0	Root & Stem	Unclassified Nectriaceae	Ascomycota	ns	Seed
ITS-Major-AF-5	ASV2	0	Root & Stem	Unclassified Nectriaceae	Ascomycota	ns	Seed
ITS-AF-2017-Boston-1	ASV2	0	Root & Stem	Unclassified Nectriaceae	Ascomycota	ns	Seed
ITS-AF-2017-Boston-2	ASV2	0	Root & Stem	Unclassified Nectriaceae	Ascomycota	ns	Seed
ITS-AF-2017-Boston-3	ASV2	0	Root & Stem	Unclassified Nectriaceae	Ascomycota	ns	Seed
ITS-AF-2017-Boston-4	ASV2	0	Root & Stem	Unclassified Nectriaceae	Ascomycota	ns	Seed
ITS-AF-2017-Boston-5	ASV2	0	Root & Stem	Unclassified Nectriaceae	Ascomycota	ns	Seed
ITS-AF-2017-Major-1	ASV2	0	Root & Stem	Unclassified Nectriaceae	Ascomycota	ns	Seed
ITS-AF-2017-Major-2	ASV2	0	Root & Stem	Unclassified Nectriaceae	Ascomycota	ns	Seed
ITS-AF-2017-Major-3	ASV2	0	Root & Stem	Unclassified Nectriaceae	Ascomycota	ns	Seed
ITS-AF-2017-Major-4	ASV2	0	Root & Stem	Unclassified Nectriaceae	Ascomycota	ns	Seed
ITS-AF-2017-Major-5	ASV2	0	Root & Stem	Unclassified Nectriaceae	Ascomycota	ns	Seed
P14B20ATD-E07	ASV2	0	Root & Stem	Unclassified Nectriaceae	Ascomycota	High	Root
P14B20ATU-H01	ASV2	67.07317073	Root & Stem	Unclassified Nectriaceae	Ascomycota	High	Stem
P14B20BTD-E09	ASV2	81.25110444	Root & Stem	Unclassified Nectriaceae	Ascomycota	High	Root
P14B20BTU-H03	ASV2	82.72586274	Root & Stem	Unclassified Nectriaceae	Ascomycota	High	Stem
P14B20CTD-E11	ASV2	56.27017059	Root & Stem	Unclassified Nectriaceae	Ascomycota	High	Root
P14B20CTU-H05	ASV2	74.10329986	Root & Stem	Unclassified Nectriaceae	Ascomycota	High	Stem
P14B26ATD-G07	ASV2	85.90794451	Root & Stem	Unclassified Nectriaceae	Ascomycota	Low	Root
P14B26ATU-B02	ASV2	92.63673469	Root & Stem	Unclassified Nectriaceae	Ascomycota	Low	Stem
P14B26BTD-G09	ASV2	0	Root & Stem	Unclassified Nectriaceae	Ascomycota	Low	Root
P14B26BTU-B04	ASV2	0	Root & Stem	Unclassified Nectriaceae	Ascomycota	Low	Stem
P14B26CTD-G11	ASV2	0	Root & Stem	Unclassified Nectriaceae	Ascomycota	Low	Root
P14B26CTU-B06	ASV2	0	Root & Stem	Unclassified Nectriaceae	Ascomycota	Low	Stem
P14B30ATD-F07	ASV2	52.42311277	Root & Stem	Unclassified Nectriaceae	Ascomycota	High	Root
P14B30ATU-A02	ASV2	47.93353217	Root & Stem	Unclassified Nectriaceae	Ascomycota	High	Stem
P14B30BTD-F09	ASV2	49.14559125	Root & Stem	Unclassified Nectriaceae	Ascomycota	High	Root
P14B30BTU-A04	ASV2	0	Root & Stem	Unclassified Nectriaceae	Ascomycota	High	Stem
P14B30CTD-F11	ASV2	24.49474535	Root & Stem	Unclassified Nectriaceae	Ascomycota	High	Root
P14B30CTU-A06	ASV2	77.75541017	Root & Stem	Unclassified Nectriaceae	Ascomycota	High	Stem
P14B36ATD-H07	ASV2	76.02490919	Root & Stem	Unclassified Nectriaceae	Ascomycota	Low	Root
P14B36ATU-C02	ASV2	83.23619206	Root & Stem	Unclassified Nectriaceae	Ascomycota	Low	Stem
P14B36BTD-H09	ASV2	0	Root & Stem	Unclassified Nectriaceae	Ascomycota	Low	Root
P14B36BTU-C04	ASV2	0	Root & Stem	Unclassified Nectriaceae	Ascomycota	Low	Stem
P14B36CTD-A12	ASV2	0	Root & Stem	Unclassified Nectriaceae	Ascomycota	Low	Root
P14B36CTU-C06	ASV2	0	Root & Stem	Unclassified Nectriaceae	Ascomycota	Low	Stem
P14M20ATD-A08	ASV2	16.31016043	Root & Stem	Unclassified Nectriaceae	Ascomycota	High	Root
P14M20ATU-D02	ASV2	0	Root & Stem	Unclassified Nectriaceae	Ascomycota	High	Stem
P14M20BTD-A10	ASV2	0	Root & Stem	Unclassified Nectriaceae	Ascomycota	High	Root
P14M20BTU-D04	ASV2	83.31198536	Root & Stem	Unclassified Nectriaceae	Ascomycota	High	Stem
P14M20CTD-B12	ASV2	55.04068716	Root & Stem	Unclassified Nectriaceae	Ascomycota	High	Root
P14M20CTU-D06	ASV2	77.22772277	Root & Stem	Unclassified Nectriaceae	Ascomycota	High	Stem
P14M26ATD-C08	ASV2	59.57533687	Root & Stem	Unclassified Nectriaceae	Ascomycota	Low	Root
P14M26ATU-F02	ASV2	95.38121922	Root & Stem	Unclassified Nectriaceae	Ascomycota	Low	Stem
P14M26BTD-C10	ASV2	0	Root & Stem	Unclassified Nectriaceae	Ascomycota	Low	Root
P14M26BTU-F04	ASV2	0	Root & Stem	Unclassified Nectriaceae	Ascomycota	Low	Stem
P14M26CTD-D12	ASV2	0	Root & Stem	Unclassified Nectriaceae	Ascomycota	Low	Root
P14M26CTU-F06	ASV2	0	Root & Stem	Unclassified Nectriaceae	Ascomycota	Low	Stem
P14M30ATD-B08	ASV2	8.409893993	Root & Stem	Unclassified Nectriaceae	Ascomycota	High	Root
P14M30ATU-E02	ASV2	39.38989089	Root & Stem	Unclassified Nectriaceae	Ascomycota	High	Stem
P14M30BTD-B10	ASV2	45.73304158	Root & Stem	Unclassified Nectriaceae	Ascomycota	High	Root
P14M30BTU-E04	ASV2	68.45864662	Root & Stem	Unclassified Nectriaceae	Ascomycota	High	Stem
P14M30CTD-C12	ASV2	39.3875396	Root & Stem	Unclassified Nectriaceae	Ascomycota	High	Root
P14M30CTU-E06	ASV2	75.85605234	Root & Stem	Unclassified Nectriaceae	Ascomycota	High	Stem
P14M36ATD-D08	ASV2	11.37835338	Root & Stem	Unclassified Nectriaceae	Ascomycota	Low	Root
P14M36ATU-G02	ASV2	82.14076246	Root & Stem	Unclassified Nectriaceae	Ascomycota	Low	Stem
P14M36BTD-D10	ASV2	0	Root & Stem	Unclassified Nectriaceae	Ascomycota	Low	Root
P14M36BTU-G04	ASV2	0	Root & Stem	Unclassified Nectriaceae	Ascomycota	Low	Stem
P14M36CTD-E12	ASV2	0	Root & Stem	Unclassified Nectriaceae	Ascomycota	Low	Root
P14M36CTU-G06	ASV2	0	Root & Stem	Unclassified Nectriaceae	Ascomycota	Low	Stem
ITS1-D0A	ASV2	4.393963213	Root & Stem	Unclassified Nectriaceae	Ascomycota	High	Soil
ITS1-D0B	ASV2	0	Root & Stem	Unclassified Nectriaceae	Ascomycota	High	Soil
ITS1-D0C	ASV2	0.334830412	Root & Stem	Unclassified Nectriaceae	Ascomycota	High	Soil
ITS1-D6A	ASV2	1.901866094	Root & Stem	Unclassified Nectriaceae	Ascomycota	Low	Soil
ITS1-D6B	ASV2	0	Root & Stem	Unclassified Nectriaceae	Ascomycota	Low	Soil
ITS1-D6C	ASV2	0	Root & Stem	Unclassified Nectriaceae	Ascomycota	Low	Soil
ITS-Boston-AF-1	ASV23	0	Soil	Trichoderma atroviride	Ascomycota	ns	Seed
ITS-Boston-AF-2	ASV23	0	Soil	Trichoderma atroviride	Ascomycota	ns	Seed
ITS-Boston-AF-3	ASV23	0	Soil	Trichoderma atroviride	Ascomycota	ns	Seed
ITS-Boston-AF-4	ASV23	0	Soil	Trichoderma atroviride	Ascomycota	ns	Seed
ITS-Boston-AF-5	ASV23	0	Soil	Trichoderma atroviride	Ascomycota	ns	Seed
ITS-Major-AF-1	ASV23	0	Soil	Trichoderma atroviride	Ascomycota	ns	Seed
ITS-Major-AF-2	ASV23	0	Soil	Trichoderma atroviride	Ascomycota	ns	Seed
ITS-Major-AF-3	ASV23	0	Soil	Trichoderma atroviride	Ascomycota	ns	Seed
ITS-Major-AF-4	ASV23	0	Soil	Trichoderma atroviride	Ascomycota	ns	Seed
ITS-Major-AF-5	ASV23	0	Soil	Trichoderma atroviride	Ascomycota	ns	Seed
ITS-AF-2017-Boston-1	ASV23	0	Soil	Trichoderma atroviride	Ascomycota	ns	Seed
ITS-AF-2017-Boston-2	ASV23	0	Soil	Trichoderma atroviride	Ascomycota	ns	Seed
ITS-AF-2017-Boston-3	ASV23	0	Soil	Trichoderma atroviride	Ascomycota	ns	Seed
ITS-AF-2017-Boston-4	ASV23	0	Soil	Trichoderma atroviride	Ascomycota	ns	Seed
ITS-AF-2017-Boston-5	ASV23	0	Soil	Trichoderma atroviride	Ascomycota	ns	Seed
ITS-AF-2017-Major-1	ASV23	0	Soil	Trichoderma atroviride	Ascomycota	ns	Seed
ITS-AF-2017-Major-2	ASV23	0	Soil	Trichoderma atroviride	Ascomycota	ns	Seed
ITS-AF-2017-Major-3	ASV23	0	Soil	Trichoderma atroviride	Ascomycota	ns	Seed
ITS-AF-2017-Major-4	ASV23	0	Soil	Trichoderma atroviride	Ascomycota	ns	Seed
ITS-AF-2017-Major-5	ASV23	0	Soil	Trichoderma atroviride	Ascomycota	ns	Seed
P14B20ATD-E07	ASV23	0	Soil	Trichoderma atroviride	Ascomycota	High	Root
P14B20ATU-H01	ASV23	0	Soil	Trichoderma atroviride	Ascomycota	High	Stem
P14B20BTD-E09	ASV23	0	Soil	Trichoderma atroviride	Ascomycota	High	Root
P14B20BTU-H03	ASV23	0	Soil	Trichoderma atroviride	Ascomycota	High	Stem
P14B20CTD-E11	ASV23	0	Soil	Trichoderma atroviride	Ascomycota	High	Root
P14B20CTU-H05	ASV23	0	Soil	Trichoderma atroviride	Ascomycota	High	Stem
P14B26ATD-G07	ASV23	0.25220681	Soil	Trichoderma atroviride	Ascomycota	Low	Root
P14B26ATU-B02	ASV23	0	Soil	Trichoderma atroviride	Ascomycota	Low	Stem
P14B26BTD-G09	ASV23	0	Soil	Trichoderma atroviride	Ascomycota	Low	Root
P14B26BTU-B04	ASV23	0	Soil	Trichoderma atroviride	Ascomycota	Low	Stem
P14B26CTD-G11	ASV23	0	Soil	Trichoderma atroviride	Ascomycota	Low	Root
P14B26CTU-B06	ASV23	0	Soil	Trichoderma atroviride	Ascomycota	Low	Stem
P14B30ATD-F07	ASV23	0	Soil	Trichoderma atroviride	Ascomycota	High	Root
P14B30ATU-A02	ASV23	0	Soil	Trichoderma atroviride	Ascomycota	High	Stem
P14B30BTD-F09	ASV23	0	Soil	Trichoderma atroviride	Ascomycota	High	Root
P14B30BTU-A04	ASV23	0	Soil	Trichoderma atroviride	Ascomycota	High	Stem
P14B30CTD-F11	ASV23	0	Soil	Trichoderma atroviride	Ascomycota	High	Root
P14B30CTU-A06	ASV23	0	Soil	Trichoderma atroviride	Ascomycota	High	Stem
P14B36ATD-H07	ASV23	0.224874589	Soil	Trichoderma atroviride	Ascomycota	Low	Root
P14B36ATU-C02	ASV23	0	Soil	Trichoderma atroviride	Ascomycota	Low	Stem
P14B36BTD-H09	ASV23	0	Soil	Trichoderma atroviride	Ascomycota	Low	Root
P14B36BTU-C04	ASV23	0	Soil	Trichoderma atroviride	Ascomycota	Low	Stem
P14B36CTD-A12	ASV23	0	Soil	Trichoderma atroviride	Ascomycota	Low	Root
P14B36CTU-C06	ASV23	0	Soil	Trichoderma atroviride	Ascomycota	Low	Stem
P14M20ATD-A08	ASV23	0.305576776	Soil	Trichoderma atroviride	Ascomycota	High	Root
P14M20ATU-D02	ASV23	0	Soil	Trichoderma atroviride	Ascomycota	High	Stem
P14M20BTD-A10	ASV23	0.840500391	Soil	Trichoderma atroviride	Ascomycota	High	Root
P14M20BTU-D04	ASV23	0	Soil	Trichoderma atroviride	Ascomycota	High	Stem
P14M20CTD-B12	ASV23	0	Soil	Trichoderma atroviride	Ascomycota	High	Root
P14M20CTU-D06	ASV23	0	Soil	Trichoderma atroviride	Ascomycota	High	Stem
P14M26ATD-C08	ASV23	0.53082891	Soil	Trichoderma atroviride	Ascomycota	Low	Root
P14M26ATU-F02	ASV23	0	Soil	Trichoderma atroviride	Ascomycota	Low	Stem
P14M26BTD-C10	ASV23	0	Soil	Trichoderma atroviride	Ascomycota	Low	Root
P14M26BTU-F04	ASV23	0	Soil	Trichoderma atroviride	Ascomycota	Low	Stem
P14M26CTD-D12	ASV23	0	Soil	Trichoderma atroviride	Ascomycota	Low	Root
P14M26CTU-F06	ASV23	0	Soil	Trichoderma atroviride	Ascomycota	Low	Stem
P14M30ATD-B08	ASV23	0	Soil	Trichoderma atroviride	Ascomycota	High	Root
P14M30ATU-E02	ASV23	0	Soil	Trichoderma atroviride	Ascomycota	High	Stem
P14M30BTD-B10	ASV23	0	Soil	Trichoderma atroviride	Ascomycota	High	Root
P14M30BTU-E04	ASV23	0	Soil	Trichoderma atroviride	Ascomycota	High	Stem
P14M30CTD-C12	ASV23	0	Soil	Trichoderma atroviride	Ascomycota	High	Root
P14M30CTU-E06	ASV23	0	Soil	Trichoderma atroviride	Ascomycota	High	Stem
P14M36ATD-D08	ASV23	0	Soil	Trichoderma atroviride	Ascomycota	Low	Root
P14M36ATU-G02	ASV23	0	Soil	Trichoderma atroviride	Ascomycota	Low	Stem
P14M36BTD-D10	ASV23	0	Soil	Trichoderma atroviride	Ascomycota	Low	Root
P14M36BTU-G04	ASV23	0	Soil	Trichoderma atroviride	Ascomycota	Low	Stem
P14M36CTD-E12	ASV23	0	Soil	Trichoderma atroviride	Ascomycota	Low	Root
P14M36CTU-G06	ASV23	0	Soil	Trichoderma atroviride	Ascomycota	Low	Stem
ITS1-D0A	ASV23	0.707435938	Soil	Trichoderma atroviride	Ascomycota	High	Soil
ITS1-D0B	ASV23	0.060285661	Soil	Trichoderma atroviride	Ascomycota	High	Soil
ITS1-D0C	ASV23	0.157756636	Soil	Trichoderma atroviride	Ascomycota	High	Soil
ITS1-D6A	ASV23	32.49667124	Soil	Trichoderma atroviride	Ascomycota	Low	Soil
ITS1-D6B	ASV23	0	Soil	Trichoderma atroviride	Ascomycota	Low	Soil
ITS1-D6C	ASV23	0.062480475	Soil	Trichoderma atroviride	Ascomycota	Low	Soil
ITS-Boston-AF-1	ASV29	0	Root & Stem	Fusicolla merismoides	Ascomycota	ns	Seed
ITS-Boston-AF-2	ASV29	0	Root & Stem	Fusicolla merismoides	Ascomycota	ns	Seed
ITS-Boston-AF-3	ASV29	0	Root & Stem	Fusicolla merismoides	Ascomycota	ns	Seed
ITS-Boston-AF-4	ASV29	0	Root & Stem	Fusicolla merismoides	Ascomycota	ns	Seed
ITS-Boston-AF-5	ASV29	0	Root & Stem	Fusicolla merismoides	Ascomycota	ns	Seed
ITS-Major-AF-1	ASV29	0	Root & Stem	Fusicolla merismoides	Ascomycota	ns	Seed
ITS-Major-AF-2	ASV29	0	Root & Stem	Fusicolla merismoides	Ascomycota	ns	Seed
ITS-Major-AF-3	ASV29	0	Root & Stem	Fusicolla merismoides	Ascomycota	ns	Seed
ITS-Major-AF-4	ASV29	0	Root & Stem	Fusicolla merismoides	Ascomycota	ns	Seed
ITS-Major-AF-5	ASV29	0	Root & Stem	Fusicolla merismoides	Ascomycota	ns	Seed
ITS-AF-2017-Boston-1	ASV29	0	Root & Stem	Fusicolla merismoides	Ascomycota	ns	Seed
ITS-AF-2017-Boston-2	ASV29	0	Root & Stem	Fusicolla merismoides	Ascomycota	ns	Seed
ITS-AF-2017-Boston-3	ASV29	0	Root & Stem	Fusicolla merismoides	Ascomycota	ns	Seed
ITS-AF-2017-Boston-4	ASV29	0	Root & Stem	Fusicolla merismoides	Ascomycota	ns	Seed
ITS-AF-2017-Boston-5	ASV29	0	Root & Stem	Fusicolla merismoides	Ascomycota	ns	Seed
ITS-AF-2017-Major-1	ASV29	0	Root & Stem	Fusicolla merismoides	Ascomycota	ns	Seed
ITS-AF-2017-Major-2	ASV29	0	Root & Stem	Fusicolla merismoides	Ascomycota	ns	Seed
ITS-AF-2017-Major-3	ASV29	0	Root & Stem	Fusicolla merismoides	Ascomycota	ns	Seed
ITS-AF-2017-Major-4	ASV29	0	Root & Stem	Fusicolla merismoides	Ascomycota	ns	Seed
ITS-AF-2017-Major-5	ASV29	0	Root & Stem	Fusicolla merismoides	Ascomycota	ns	Seed
P14B20ATD-E07	ASV29	7.62925599	Root & Stem	Fusicolla merismoides	Ascomycota	High	Root
P14B20ATU-H01	ASV29	3.963414634	Root & Stem	Fusicolla merismoides	Ascomycota	High	Stem
P14B20BTD-E09	ASV29	0.512458031	Root & Stem	Fusicolla merismoides	Ascomycota	High	Root
P14B20BTU-H03	ASV29	1.37650252	Root & Stem	Fusicolla merismoides	Ascomycota	High	Stem
P14B20CTD-E11	ASV29	3.019824804	Root & Stem	Fusicolla merismoides	Ascomycota	High	Root
P14B20CTU-H05	ASV29	4.423720708	Root & Stem	Fusicolla merismoides	Ascomycota	High	Stem
P14B26ATD-G07	ASV29	0	Root & Stem	Fusicolla merismoides	Ascomycota	Low	Root
P14B26ATU-B02	ASV29	0	Root & Stem	Fusicolla merismoides	Ascomycota	Low	Stem
P14B26BTD-G09	ASV29	0	Root & Stem	Fusicolla merismoides	Ascomycota	Low	Root
P14B26BTU-B04	ASV29	0	Root & Stem	Fusicolla merismoides	Ascomycota	Low	Stem
P14B26CTD-G11	ASV29	0	Root & Stem	Fusicolla merismoides	Ascomycota	Low	Root
P14B26CTU-B06	ASV29	2.007808143	Root & Stem	Fusicolla merismoides	Ascomycota	Low	Stem
P14B30ATD-F07	ASV29	6.150978565	Root & Stem	Fusicolla merismoides	Ascomycota	High	Root
P14B30ATU-A02	ASV29	6.220707286	Root & Stem	Fusicolla merismoides	Ascomycota	High	Stem
P14B30BTD-F09	ASV29	1.606288448	Root & Stem	Fusicolla merismoides	Ascomycota	High	Root
P14B30BTU-A04	ASV29	3.852364475	Root & Stem	Fusicolla merismoides	Ascomycota	High	Stem
P14B30CTD-F11	ASV29	0.404203719	Root & Stem	Fusicolla merismoides	Ascomycota	High	Root
P14B30CTU-A06	ASV29	4.3029693	Root & Stem	Fusicolla merismoides	Ascomycota	High	Stem
P14B36ATD-H07	ASV29	0	Root & Stem	Fusicolla merismoides	Ascomycota	Low	Root
P14B36ATU-C02	ASV29	0	Root & Stem	Fusicolla merismoides	Ascomycota	Low	Stem
P14B36BTD-H09	ASV29	0	Root & Stem	Fusicolla merismoides	Ascomycota	Low	Root
P14B36BTU-C04	ASV29	0	Root & Stem	Fusicolla merismoides	Ascomycota	Low	Stem
P14B36CTD-A12	ASV29	0	Root & Stem	Fusicolla merismoides	Ascomycota	Low	Root
P14B36CTU-C06	ASV29	2.003535651	Root & Stem	Fusicolla merismoides	Ascomycota	Low	Stem
P14M20ATD-A08	ASV29	2.444614209	Root & Stem	Fusicolla merismoides	Ascomycota	High	Root
P14M20ATU-D02	ASV29	2.213725096	Root & Stem	Fusicolla merismoides	Ascomycota	High	Stem
P14M20BTD-A10	ASV29	0.605942142	Root & Stem	Fusicolla merismoides	Ascomycota	High	Root
P14M20BTU-D04	ASV29	2.506861848	Root & Stem	Fusicolla merismoides	Ascomycota	High	Stem
P14M20CTD-B12	ASV29	5.922242315	Root & Stem	Fusicolla merismoides	Ascomycota	High	Root
P14M20CTU-D06	ASV29	4.174917492	Root & Stem	Fusicolla merismoides	Ascomycota	High	Stem
P14M26ATD-C08	ASV29	0	Root & Stem	Fusicolla merismoides	Ascomycota	Low	Root
P14M26ATU-F02	ASV29	0	Root & Stem	Fusicolla merismoides	Ascomycota	Low	Stem
P14M26BTD-C10	ASV29	0	Root & Stem	Fusicolla merismoides	Ascomycota	Low	Root
P14M26BTU-F04	ASV29	0	Root & Stem	Fusicolla merismoides	Ascomycota	Low	Stem
P14M26CTD-D12	ASV29	0.164383562	Root & Stem	Fusicolla merismoides	Ascomycota	Low	Root
P14M26CTU-F06	ASV29	10.37398374	Root & Stem	Fusicolla merismoides	Ascomycota	Low	Stem
P14M30ATD-B08	ASV29	1.201413428	Root & Stem	Fusicolla merismoides	Ascomycota	High	Root
P14M30ATU-E02	ASV29	5.455355155	Root & Stem	Fusicolla merismoides	Ascomycota	High	Stem
P14M30BTD-B10	ASV29	3.763676149	Root & Stem	Fusicolla merismoides	Ascomycota	High	Root
P14M30BTU-E04	ASV29	9.436090226	Root & Stem	Fusicolla merismoides	Ascomycota	High	Stem
P14M30CTD-C12	ASV29	2.766631468	Root & Stem	Fusicolla merismoides	Ascomycota	High	Root
P14M30CTU-E06	ASV29	4.53653217	Root & Stem	Fusicolla merismoides	Ascomycota	High	Stem
P14M36ATD-D08	ASV29	0	Root & Stem	Fusicolla merismoides	Ascomycota	Low	Root
P14M36ATU-G02	ASV29	0	Root & Stem	Fusicolla merismoides	Ascomycota	Low	Stem
P14M36BTD-D10	ASV29	0	Root & Stem	Fusicolla merismoides	Ascomycota	Low	Root
P14M36BTU-G04	ASV29	0	Root & Stem	Fusicolla merismoides	Ascomycota	Low	Stem
P14M36CTD-E12	ASV29	0.095854301	Root & Stem	Fusicolla merismoides	Ascomycota	Low	Root
P14M36CTU-G06	ASV29	4.426864164	Root & Stem	Fusicolla merismoides	Ascomycota	Low	Stem
ITS1-D0A	ASV29	1.391290678	Root & Stem	Fusicolla merismoides	Ascomycota	High	Soil
ITS1-D0B	ASV29	0.046373586	Root & Stem	Fusicolla merismoides	Ascomycota	High	Soil
ITS1-D0C	ASV29	0.655172969	Root & Stem	Fusicolla merismoides	Ascomycota	High	Soil
ITS1-D6A	ASV29	0	Root & Stem	Fusicolla merismoides	Ascomycota	Low	Soil
ITS1-D6B	ASV29	0	Root & Stem	Fusicolla merismoides	Ascomycota	Low	Soil
ITS1-D6C	ASV29	2.128241175	Root & Stem	Fusicolla merismoides	Ascomycota	Low	Soil
ITS-Boston-AF-1	ASV3	33.19784101	Seed	Alternaria infectoria	Ascomycota	ns	Seed
ITS-Boston-AF-2	ASV3	33.22261484	Seed	Alternaria infectoria	Ascomycota	ns	Seed
ITS-Boston-AF-3	ASV3	19.31234233	Seed	Alternaria infectoria	Ascomycota	ns	Seed
ITS-Boston-AF-4	ASV3	28.86472696	Seed	Alternaria infectoria	Ascomycota	ns	Seed
ITS-Boston-AF-5	ASV3	25.15903705	Seed	Alternaria infectoria	Ascomycota	ns	Seed
ITS-Major-AF-1	ASV3	29.35619823	Seed	Alternaria infectoria	Ascomycota	ns	Seed
ITS-Major-AF-2	ASV3	27.77565231	Seed	Alternaria infectoria	Ascomycota	ns	Seed
ITS-Major-AF-3	ASV3	24.95503794	Seed	Alternaria infectoria	Ascomycota	ns	Seed
ITS-Major-AF-4	ASV3	21.13763134	Seed	Alternaria infectoria	Ascomycota	ns	Seed
ITS-Major-AF-5	ASV3	18.79987482	Seed	Alternaria infectoria	Ascomycota	ns	Seed
ITS-AF-2017-Boston-1	ASV3	24.29003936	Seed	Alternaria infectoria	Ascomycota	ns	Seed
ITS-AF-2017-Boston-2	ASV3	24.57935073	Seed	Alternaria infectoria	Ascomycota	ns	Seed
ITS-AF-2017-Boston-3	ASV3	25.22036574	Seed	Alternaria infectoria	Ascomycota	ns	Seed
ITS-AF-2017-Boston-4	ASV3	24.50923708	Seed	Alternaria infectoria	Ascomycota	ns	Seed
ITS-AF-2017-Boston-5	ASV3	23.48784947	Seed	Alternaria infectoria	Ascomycota	ns	Seed
ITS-AF-2017-Major-1	ASV3	26.85131295	Seed	Alternaria infectoria	Ascomycota	ns	Seed
ITS-AF-2017-Major-2	ASV3	23.15951675	Seed	Alternaria infectoria	Ascomycota	ns	Seed
ITS-AF-2017-Major-3	ASV3	24.58229333	Seed	Alternaria infectoria	Ascomycota	ns	Seed
ITS-AF-2017-Major-4	ASV3	25.58798803	Seed	Alternaria infectoria	Ascomycota	ns	Seed
ITS-AF-2017-Major-5	ASV3	25.01710016	Seed	Alternaria infectoria	Ascomycota	ns	Seed
P14B20ATD-E07	ASV3	0	Seed	Alternaria infectoria	Ascomycota	High	Root
P14B20ATU-H01	ASV3	0	Seed	Alternaria infectoria	Ascomycota	High	Stem
P14B20BTD-E09	ASV3	0	Seed	Alternaria infectoria	Ascomycota	High	Root
P14B20BTU-H03	ASV3	0	Seed	Alternaria infectoria	Ascomycota	High	Stem
P14B20CTD-E11	ASV3	0	Seed	Alternaria infectoria	Ascomycota	High	Root
P14B20CTU-H05	ASV3	0	Seed	Alternaria infectoria	Ascomycota	High	Stem
P14B26ATD-G07	ASV3	0	Seed	Alternaria infectoria	Ascomycota	Low	Root
P14B26ATU-B02	ASV3	0	Seed	Alternaria infectoria	Ascomycota	Low	Stem
P14B26BTD-G09	ASV3	0	Seed	Alternaria infectoria	Ascomycota	Low	Root
