Sample	ASV	Relative_abundance	Prevalence_Compartment	Species	Phylum	Soil_div	Compartment
P14M26CTU-F06	ASV1	0	Seed	Cladosporium sinuosum	Ascomycota	Low	Stem
P14M30ATD-B08	ASV1	0	Seed	Cladosporium sinuosum	Ascomycota	High	Root
P14M30ATU-E02	ASV1	0	Seed	Cladosporium sinuosum	Ascomycota	High	Stem
P14M30BTD-B10	ASV1	0	Seed	Cladosporium sinuosum	Ascomycota	High	Root
P14M30BTU-E04	ASV1	0	Seed	Cladosporium sinuosum	Ascomycota	High	Stem
P14M30CTD-C12	ASV1	0	Seed	Cladosporium sinuosum	Ascomycota	High	Root
P14M30CTU-E06	ASV1	0	Seed	Cladosporium sinuosum	Ascomycota	High	Stem
P14M36ATD-D08	ASV1	0	Seed	Cladosporium sinuosum	Ascomycota	Low	Root
P14M36ATU-G02	ASV1	0	Seed	Cladosporium sinuosum	Ascomycota	Low	Stem
P14M36BTD-D10	ASV1	0	Seed	Cladosporium sinuosum	Ascomycota	Low	Root
P14M36BTU-G04	ASV1	0	Seed	Cladosporium sinuosum	Ascomycota	Low	Stem
P14M36CTD-E12	ASV1	0	Seed	Cladosporium sinuosum	Ascomycota	Low	Root
P14M36CTU-G06	ASV1	0	Seed	Cladosporium sinuosum	Ascomycota	Low	Stem
ITS1-D0A	ASV1	0	Seed	Cladosporium sinuosum	Ascomycota	High	Soil
ITS1-D0B	ASV1	0.004637359	Seed	Cladosporium sinuosum	Ascomycota	High	Soil
ITS1-D0C	ASV1	0	Seed	Cladosporium sinuosum	Ascomycota	High	Soil
ITS1-D6A	ASV1	0.02186053	Seed	Cladosporium sinuosum	Ascomycota	Low	Soil
ITS1-D6B	ASV1	0.009837402	Seed	Cladosporium sinuosum	Ascomycota	Low	Soil
ITS1-D6C	ASV1	0.156201187	Seed	Cladosporium sinuosum	Ascomycota	Low	Soil
ITS-Boston-AF-1	ASV11	3.678283468	Seed	Alternaria infectoria	Ascomycota	ns	Seed
ITS-Boston-AF-2	ASV11	2.537102473	Seed	Alternaria infectoria	Ascomycota	ns	Seed
ITS-Boston-AF-3	ASV11	4.073624218	Seed	Alternaria infectoria	Ascomycota	ns	Seed
ITS-Boston-AF-4	ASV11	2.873109397	Seed	Alternaria infectoria	Ascomycota	ns	Seed
ITS-Boston-AF-5	ASV11	3.579892728	Seed	Alternaria infectoria	Ascomycota	ns	Seed
ITS-Major-AF-1	ASV11	4.432495277	Seed	Alternaria infectoria	Ascomycota	ns	Seed
ITS-Major-AF-2	ASV11	5.187849109	Seed	Alternaria infectoria	Ascomycota	ns	Seed
ITS-Major-AF-3	ASV11	4.531297978	Seed	Alternaria infectoria	Ascomycota	ns	Seed
ITS-Major-AF-4	ASV11	3.943442729	Seed	Alternaria infectoria	Ascomycota	ns	Seed
ITS-Major-AF-5	ASV11	3.982162416	Seed	Alternaria infectoria	Ascomycota	ns	Seed
ITS-AF-2017-Boston-1	ASV11	5.937026945	Seed	Alternaria infectoria	Ascomycota	ns	Seed
ITS-AF-2017-Boston-2	ASV11	6.268836649	Seed	Alternaria infectoria	Ascomycota	ns	Seed
ITS-AF-2017-Boston-3	ASV11	5.99921063	Seed	Alternaria infectoria	Ascomycota	ns	Seed
ITS-AF-2017-Boston-4	ASV11	6.183750447	Seed	Alternaria infectoria	Ascomycota	ns	Seed
ITS-AF-2017-Boston-5	ASV11	6.027652929	Seed	Alternaria infectoria	Ascomycota	ns	Seed
ITS-AF-2017-Major-1	ASV11	7.088568592	Seed	Alternaria infectoria	Ascomycota	ns	Seed
ITS-AF-2017-Major-2	ASV11	6.352146616	Seed	Alternaria infectoria	Ascomycota	ns	Seed
ITS-AF-2017-Major-3	ASV11	6.582375165	Seed	Alternaria infectoria	Ascomycota	ns	Seed
ITS-AF-2017-Major-4	ASV11	6.72740425	Seed	Alternaria infectoria	Ascomycota	ns	Seed
ITS-AF-2017-Major-5	ASV11	6.540154691	Seed	Alternaria infectoria	Ascomycota	ns	Seed
P14B20ATD-E07	ASV11	0	Seed	Alternaria infectoria	Ascomycota	High	Root
P14B20ATU-H01	ASV11	0	Seed	Alternaria infectoria	Ascomycota	High	Stem
P14B20BTD-E09	ASV11	0	Seed	Alternaria infectoria	Ascomycota	High	Root
P14B20BTU-H03	ASV11	0	Seed	Alternaria infectoria	Ascomycota	High	Stem
P14B20CTD-E11	ASV11	0	Seed	Alternaria infectoria	Ascomycota	High	Root
P14B20CTU-H05	ASV11	0	Seed	Alternaria infectoria	Ascomycota	High	Stem
P14B26ATD-G07	ASV11	0	Seed	Alternaria infectoria	Ascomycota	Low	Root
P14B26ATU-B02	ASV11	0	Seed	Alternaria infectoria	Ascomycota	Low	Stem
P14B26BTD-G09	ASV11	0	Seed	Alternaria infectoria	Ascomycota	Low	Root
