Combined	All	ASV	Compartment	GxY	Soil_div	Rel_abund_Seed	Type
ASV2782_MajorY1	nsSeed-MajorY1	ASV2782	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV2782_MajorY2	nsSeed-MajorY2	ASV2782	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV2783_BostonY1	nsSeed-BostonY1	ASV2783	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV2783_BostonY2	nsSeed-BostonY2	ASV2783	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV2783_MajorY1	nsSeed-MajorY1	ASV2783	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV2783_MajorY2	nsSeed-MajorY2	ASV2783	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV2786_BostonY1	nsSeed-BostonY1	ASV2786	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV2786_BostonY2	nsSeed-BostonY2	ASV2786	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV2786_MajorY1	nsSeed-MajorY1	ASV2786	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV2786_MajorY2	nsSeed-MajorY2	ASV2786	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV2787_BostonY1	nsSeed-BostonY1	ASV2787	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV2787_BostonY2	nsSeed-BostonY2	ASV2787	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV2787_MajorY1	nsSeed-MajorY1	ASV2787	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV2787_MajorY2	nsSeed-MajorY2	ASV2787	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV2788_BostonY1	nsSeed-BostonY1	ASV2788	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV2788_BostonY2	nsSeed-BostonY2	ASV2788	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV2788_MajorY1	nsSeed-MajorY1	ASV2788	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV2788_MajorY2	nsSeed-MajorY2	ASV2788	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV2789_BostonY1	nsSeed-BostonY1	ASV2789	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV2789_BostonY2	nsSeed-BostonY2	ASV2789	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV2789_MajorY1	nsSeed-MajorY1	ASV2789	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV2789_MajorY2	nsSeed-MajorY2	ASV2789	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV279_BostonY1	nsSeed-BostonY1	ASV279	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV279_BostonY2	nsSeed-BostonY2	ASV279	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV279_MajorY1	nsSeed-MajorY1	ASV279	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV279_MajorY2	nsSeed-MajorY2	ASV279	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV2791_BostonY1	nsSeed-BostonY1	ASV2791	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV2791_BostonY2	nsSeed-BostonY2	ASV2791	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV2791_MajorY1	nsSeed-MajorY1	ASV2791	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV2791_MajorY2	nsSeed-MajorY2	ASV2791	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV2792_BostonY1	nsSeed-BostonY1	ASV2792	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV2792_BostonY2	nsSeed-BostonY2	ASV2792	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV2792_MajorY1	nsSeed-MajorY1	ASV2792	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV2792_MajorY2	nsSeed-MajorY2	ASV2792	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV2794_BostonY1	nsSeed-BostonY1	ASV2794	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV2794_BostonY2	nsSeed-BostonY2	ASV2794	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV2794_MajorY1	nsSeed-MajorY1	ASV2794	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV2794_MajorY2	nsSeed-MajorY2	ASV2794	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV2795_BostonY1	nsSeed-BostonY1	ASV2795	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV2795_BostonY2	nsSeed-BostonY2	ASV2795	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV2795_MajorY1	nsSeed-MajorY1	ASV2795	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV2795_MajorY2	nsSeed-MajorY2	ASV2795	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV2796_BostonY1	nsSeed-BostonY1	ASV2796	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV2796_BostonY2	nsSeed-BostonY2	ASV2796	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV2796_MajorY1	nsSeed-MajorY1	ASV2796	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV2796_MajorY2	nsSeed-MajorY2	ASV2796	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV2797_BostonY1	nsSeed-BostonY1	ASV2797	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV2797_BostonY2	nsSeed-BostonY2	ASV2797	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV2797_MajorY1	nsSeed-MajorY1	ASV2797	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV2797_MajorY2	nsSeed-MajorY2	ASV2797	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV2798_BostonY1	nsSeed-BostonY1	ASV2798	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV2798_BostonY2	nsSeed-BostonY2	ASV2798	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV2798_MajorY1	nsSeed-MajorY1	ASV2798	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV2798_MajorY2	nsSeed-MajorY2	ASV2798	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV28_BostonY1	nsSeed-BostonY1	ASV28	Seed	BostonY1	ns 	4.399132122	> 1%: Dominant
ASV28_BostonY2	nsSeed-BostonY2	ASV28	Seed	BostonY2	ns 	1.889741696	> 1%: Dominant
ASV28_MajorY1	nsSeed-MajorY1	ASV28	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV28_MajorY2	nsSeed-MajorY2	ASV28	Seed	MajorY2	ns 	1.728974805	> 1%: Dominant
ASV280_BostonY1	nsSeed-BostonY1	ASV280	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV280_BostonY2	nsSeed-BostonY2	ASV280	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV280_MajorY1	nsSeed-MajorY1	ASV280	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV280_MajorY2	nsSeed-MajorY2	ASV280	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV2800_BostonY1	nsSeed-BostonY1	ASV2800	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV2800_BostonY2	nsSeed-BostonY2	ASV2800	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV2800_MajorY1	nsSeed-MajorY1	ASV2800	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV2800_MajorY2	nsSeed-MajorY2	ASV2800	Seed	MajorY2	ns 	0.018201487	0.01<x<1%: Intermediate
ASV2801_BostonY1	nsSeed-BostonY1	ASV2801	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV2801_BostonY2	nsSeed-BostonY2	ASV2801	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV2801_MajorY1	nsSeed-MajorY1	ASV2801	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV2801_MajorY2	nsSeed-MajorY2	ASV2801	Seed	MajorY2	ns 	0.020243571	0.01<x<1%: Intermediate
ASV2802_BostonY1	nsSeed-BostonY1	ASV2802	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV2802_BostonY2	nsSeed-BostonY2	ASV2802	Seed	BostonY2	ns 	0.013906971	0.01<x<1%: Intermediate
ASV2802_MajorY1	nsSeed-MajorY1	ASV2802	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV2802_MajorY2	nsSeed-MajorY2	ASV2802	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV2803_BostonY1	nsSeed-BostonY1	ASV2803	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV2803_BostonY2	nsSeed-BostonY2	ASV2803	Seed	BostonY2	ns 	0.021043019	0.01<x<1%: Intermediate
ASV2803_MajorY1	nsSeed-MajorY1	ASV2803	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV2803_MajorY2	nsSeed-MajorY2	ASV2803	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV2804_BostonY1	nsSeed-BostonY1	ASV2804	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV2804_BostonY2	nsSeed-BostonY2	ASV2804	Seed	BostonY2	ns 	0.021043019	0.01<x<1%: Intermediate
ASV2804_MajorY1	nsSeed-MajorY1	ASV2804	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV2804_MajorY2	nsSeed-MajorY2	ASV2804	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV2805_BostonY1	nsSeed-BostonY1	ASV2805	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV2805_BostonY2	nsSeed-BostonY2	ASV2805	Seed	BostonY2	ns 	0.022709957	0.01<x<1%: Intermediate
ASV2805_MajorY1	nsSeed-MajorY1	ASV2805	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV2805_MajorY2	nsSeed-MajorY2	ASV2805	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV2806_BostonY1	nsSeed-BostonY1	ASV2806	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV2806_BostonY2	nsSeed-BostonY2	ASV2806	Seed	BostonY2	ns 	0.018581813	0.01<x<1%: Intermediate
ASV2806_MajorY1	nsSeed-MajorY1	ASV2806	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV2806_MajorY2	nsSeed-MajorY2	ASV2806	Seed	MajorY2	ns 	0.002142457	< 0.01%: Rare
ASV2807_BostonY1	nsSeed-BostonY1	ASV2807	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV2807_BostonY2	nsSeed-BostonY2	ASV2807	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV2807_MajorY1	nsSeed-MajorY1	ASV2807	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV2807_MajorY2	nsSeed-MajorY2	ASV2807	Seed	MajorY2	ns 	0.018201487	0.01<x<1%: Intermediate
ASV2808_BostonY1	nsSeed-BostonY1	ASV2808	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV2808_BostonY2	nsSeed-BostonY2	ASV2808	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV2808_MajorY1	nsSeed-MajorY1	ASV2808	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV2808_MajorY2	nsSeed-MajorY2	ASV2808	Seed	MajorY2	ns 	0.019823088	0.01<x<1%: Intermediate
ASV2809_BostonY1	nsSeed-BostonY1	ASV2809	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV2809_BostonY2	nsSeed-BostonY2	ASV2809	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV2809_MajorY1	nsSeed-MajorY1	ASV2809	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV2809_MajorY2	nsSeed-MajorY2	ASV2809	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV281_BostonY1	nsSeed-BostonY1	ASV281	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV281_BostonY2	nsSeed-BostonY2	ASV281	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV281_MajorY1	nsSeed-MajorY1	ASV281	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV281_MajorY2	nsSeed-MajorY2	ASV281	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV2810_BostonY1	nsSeed-BostonY1	ASV2810	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV2810_BostonY2	nsSeed-BostonY2	ASV2810	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV2810_MajorY1	nsSeed-MajorY1	ASV2810	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV2810_MajorY2	nsSeed-MajorY2	ASV2810	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV2811_BostonY1	nsSeed-BostonY1	ASV2811	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV2811_BostonY2	nsSeed-BostonY2	ASV2811	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV2811_MajorY1	nsSeed-MajorY1	ASV2811	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV2811_MajorY2	nsSeed-MajorY2	ASV2811	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV2812_BostonY1	nsSeed-BostonY1	ASV2812	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV2812_BostonY2	nsSeed-BostonY2	ASV2812	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV2812_MajorY1	nsSeed-MajorY1	ASV2812	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV2812_MajorY2	nsSeed-MajorY2	ASV2812	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV2813_BostonY1	nsSeed-BostonY1	ASV2813	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV2813_BostonY2	nsSeed-BostonY2	ASV2813	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV2813_MajorY1	nsSeed-MajorY1	ASV2813	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV2813_MajorY2	nsSeed-MajorY2	ASV2813	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV2814_BostonY1	nsSeed-BostonY1	ASV2814	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV2814_BostonY2	nsSeed-BostonY2	ASV2814	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV2814_MajorY1	nsSeed-MajorY1	ASV2814	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV2814_MajorY2	nsSeed-MajorY2	ASV2814	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV2815_BostonY1	nsSeed-BostonY1	ASV2815	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV2815_BostonY2	nsSeed-BostonY2	ASV2815	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV2815_MajorY1	nsSeed-MajorY1	ASV2815	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV2815_MajorY2	nsSeed-MajorY2	ASV2815	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV2816_BostonY1	nsSeed-BostonY1	ASV2816	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV2816_BostonY2	nsSeed-BostonY2	ASV2816	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV2816_MajorY1	nsSeed-MajorY1	ASV2816	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV2816_MajorY2	nsSeed-MajorY2	ASV2816	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV2817_BostonY1	nsSeed-BostonY1	ASV2817	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV2817_BostonY2	nsSeed-BostonY2	ASV2817	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV2817_MajorY1	nsSeed-MajorY1	ASV2817	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV2817_MajorY2	nsSeed-MajorY2	ASV2817	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV2818_BostonY1	nsSeed-BostonY1	ASV2818	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV2818_BostonY2	nsSeed-BostonY2	ASV2818	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV2818_MajorY1	nsSeed-MajorY1	ASV2818	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV2818_MajorY2	nsSeed-MajorY2	ASV2818	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV2819_BostonY1	nsSeed-BostonY1	ASV2819	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV2819_BostonY2	nsSeed-BostonY2	ASV2819	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV2819_MajorY1	nsSeed-MajorY1	ASV2819	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV2819_MajorY2	nsSeed-MajorY2	ASV2819	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV2820_BostonY1	nsSeed-BostonY1	ASV2820	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV2820_BostonY2	nsSeed-BostonY2	ASV2820	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV2820_MajorY1	nsSeed-MajorY1	ASV2820	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV2820_MajorY2	nsSeed-MajorY2	ASV2820	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV2822_BostonY1	nsSeed-BostonY1	ASV2822	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV2822_BostonY2	nsSeed-BostonY2	ASV2822	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV2822_MajorY1	nsSeed-MajorY1	ASV2822	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV2822_MajorY2	nsSeed-MajorY2	ASV2822	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV2823_BostonY1	nsSeed-BostonY1	ASV2823	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV2823_BostonY2	nsSeed-BostonY2	ASV2823	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV2823_MajorY1	nsSeed-MajorY1	ASV2823	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV2823_MajorY2	nsSeed-MajorY2	ASV2823	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV2825_BostonY1	nsSeed-BostonY1	ASV2825	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV2825_BostonY2	nsSeed-BostonY2	ASV2825	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV2825_MajorY1	nsSeed-MajorY1	ASV2825	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV2825_MajorY2	nsSeed-MajorY2	ASV2825	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV2826_BostonY1	nsSeed-BostonY1	ASV2826	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV2826_BostonY2	nsSeed-BostonY2	ASV2826	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV2826_MajorY1	nsSeed-MajorY1	ASV2826	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV2826_MajorY2	nsSeed-MajorY2	ASV2826	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV2827_BostonY1	nsSeed-BostonY1	ASV2827	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV2827_BostonY2	nsSeed-BostonY2	ASV2827	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV2827_MajorY1	nsSeed-MajorY1	ASV2827	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV2827_MajorY2	nsSeed-MajorY2	ASV2827	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV2828_BostonY1	nsSeed-BostonY1	ASV2828	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV2828_BostonY2	nsSeed-BostonY2	ASV2828	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV2828_MajorY1	nsSeed-MajorY1	ASV2828	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV2828_MajorY2	nsSeed-MajorY2	ASV2828	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV2829_BostonY1	nsSeed-BostonY1	ASV2829	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV2829_BostonY2	nsSeed-BostonY2	ASV2829	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV2829_MajorY1	nsSeed-MajorY1	ASV2829	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV2829_MajorY2	nsSeed-MajorY2	ASV2829	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV283_BostonY1	nsSeed-BostonY1	ASV283	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV283_BostonY2	nsSeed-BostonY2	ASV283	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV283_MajorY1	nsSeed-MajorY1	ASV283	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV283_MajorY2	nsSeed-MajorY2	ASV283	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV2832_BostonY1	nsSeed-BostonY1	ASV2832	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV2832_BostonY2	nsSeed-BostonY2	ASV2832	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV2832_MajorY1	nsSeed-MajorY1	ASV2832	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV2832_MajorY2	nsSeed-MajorY2	ASV2832	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV2833_BostonY1	nsSeed-BostonY1	ASV2833	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV2833_BostonY2	nsSeed-BostonY2	ASV2833	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV2833_MajorY1	nsSeed-MajorY1	ASV2833	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV2833_MajorY2	nsSeed-MajorY2	ASV2833	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV2834_BostonY1	nsSeed-BostonY1	ASV2834	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV2834_BostonY2	nsSeed-BostonY2	ASV2834	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV2834_MajorY1	nsSeed-MajorY1	ASV2834	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV2834_MajorY2	nsSeed-MajorY2	ASV2834	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV2835_BostonY1	nsSeed-BostonY1	ASV2835	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV2835_BostonY2	nsSeed-BostonY2	ASV2835	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV2835_MajorY1	nsSeed-MajorY1	ASV2835	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV2835_MajorY2	nsSeed-MajorY2	ASV2835	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV2836_BostonY1	nsSeed-BostonY1	ASV2836	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV2836_BostonY2	nsSeed-BostonY2	ASV2836	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV2836_MajorY1	nsSeed-MajorY1	ASV2836	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV2836_MajorY2	nsSeed-MajorY2	ASV2836	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV2837_BostonY1	nsSeed-BostonY1	ASV2837	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV2837_BostonY2	nsSeed-BostonY2	ASV2837	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV2837_MajorY1	nsSeed-MajorY1	ASV2837	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV2837_MajorY2	nsSeed-MajorY2	ASV2837	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV2838_BostonY1	nsSeed-BostonY1	ASV2838	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV2838_BostonY2	nsSeed-BostonY2	ASV2838	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV2838_MajorY1	nsSeed-MajorY1	ASV2838	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV2838_MajorY2	nsSeed-MajorY2	ASV2838	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV2839_BostonY1	nsSeed-BostonY1	ASV2839	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV2839_BostonY2	nsSeed-BostonY2	ASV2839	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV2839_MajorY1	nsSeed-MajorY1	ASV2839	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV2839_MajorY2	nsSeed-MajorY2	ASV2839	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV284_BostonY1	nsSeed-BostonY1	ASV284	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV284_BostonY2	nsSeed-BostonY2	ASV284	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV284_MajorY1	nsSeed-MajorY1	ASV284	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV284_MajorY2	nsSeed-MajorY2	ASV284	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV2840_BostonY1	nsSeed-BostonY1	ASV2840	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV2840_BostonY2	nsSeed-BostonY2	ASV2840	Seed	BostonY2	ns 	0.022968757	0.01<x<1%: Intermediate
ASV2840_MajorY1	nsSeed-MajorY1	ASV2840	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV2840_MajorY2	nsSeed-MajorY2	ASV2840	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV2841_BostonY1	nsSeed-BostonY1	ASV2841	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV2841_BostonY2	nsSeed-BostonY2	ASV2841	Seed	BostonY2	ns 	0.004202784	< 0.01%: Rare
ASV2841_MajorY1	nsSeed-MajorY1	ASV2841	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV2841_MajorY2	nsSeed-MajorY2	ASV2841	Seed	MajorY2	ns 	0.018464459	0.01<x<1%: Intermediate
ASV2842_BostonY1	nsSeed-BostonY1	ASV2842	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV2842_BostonY2	nsSeed-BostonY2	ASV2842	Seed	BostonY2	ns 	0.021447062	0.01<x<1%: Intermediate
ASV2842_MajorY1	nsSeed-MajorY1	ASV2842	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV2842_MajorY2	nsSeed-MajorY2	ASV2842	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV2843_BostonY1	nsSeed-BostonY1	ASV2843	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV2843_BostonY2	nsSeed-BostonY2	ASV2843	Seed	BostonY2	ns 	0.027318098	0.01<x<1%: Intermediate
ASV2843_MajorY1	nsSeed-MajorY1	ASV2843	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV2843_MajorY2	nsSeed-MajorY2	ASV2843	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV2844_BostonY1	nsSeed-BostonY1	ASV2844	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV2844_BostonY2	nsSeed-BostonY2	ASV2844	Seed	BostonY2	ns 	0.013499295	0.01<x<1%: Intermediate
ASV2844_MajorY1	nsSeed-MajorY1	ASV2844	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV2844_MajorY2	nsSeed-MajorY2	ASV2844	Seed	MajorY2	ns 	0.006551649	< 0.01%: Rare
ASV2845_BostonY1	nsSeed-BostonY1	ASV2845	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV2845_BostonY2	nsSeed-BostonY2	ASV2845	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV2845_MajorY1	nsSeed-MajorY1	ASV2845	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV2845_MajorY2	nsSeed-MajorY2	ASV2845	Seed	MajorY2	ns 	0.016529976	0.01<x<1%: Intermediate
ASV2846_BostonY1	nsSeed-BostonY1	ASV2846	Seed	BostonY1	ns 	0	< 0.01%: Rare
